SDL Initialized...
Player x: 50
Player x: 55
Player x: 55
Player x: 60
Player x: 60
Player x: 65
Player x: 65
Player x: 70
Player x: 70
Player x: 75
Player x: 80
Player x: 80
Player x: 85
Player x: 85
Player x: 90
Player x: 95
Player x: 95
Player x: 100
Player x: 105
Player x: 105
Player x: 110
Player x: 115
Player x: 115
Player x: 120
Player x: 120
Player x: 125
Player x: 125
Player x: 130
Player x: 130
Player x: 135
Player x: 135
Player x: 140
Player x: 145
Player x: 150
Player x: 150
Player x: 155
Player x: 160
Player x: 160
Player x: 165
Player x: 165
Player x: 170
Player x: 175
Player x: 175
Player x: 180
Player x: 185
Player x: 185
